n,n-th gram point
0,9.66690805926919
1,17.84559953212738
2,23.170282684266567
3,27.670182187110186
4,31.71797990053892
5,35.467184234410524
6,38.99920991808176
7,42.36355032026768
8,45.59302897378802
9,48.71077657863498
10,51.73384276404977
11,54.675237361341715
12,57.54516515135765
13,60.3518119007349
14,63.10186795145273
15,65.80088761821389
16,68.45354483649135
17,71.06381896138191
18,73.63513223081827
19,76.17045453935862
20,78.67238399758935
21,81.14320933073759
22,83.58496007695794
23,85.9994459822774
24,88.38828987628222
25,90.75295337662101
26,93.09475896134973
27,95.41490840911865
28,97.71449732780457
29,99.99452819302678
30,102.25592143088579
31,104.49952445179224
32,106.7261195667088
33,108.93643106520176
34,111.13113098964095
35,113.31084453687072
36,115.47615415602922
37,117.62760420516133
38,119.76570374518633
39,121.89093035832047
40,124.00373219698668
41,126.10453115031123
42,128.19372433423996
43,130.27168660610914
44,132.33877224102616
45,134.39531614258885
46,136.44163570553064
47,138.4780320264399
48,140.50479074195027
49,142.52218370512128
50,144.53046935796738
51,146.5298941284418
52,148.52069261670113
53,150.50308917835355
54,152.47729773819447
55,154.4435231871903
56,156.40196128934622
57,158.35279979929328
58,160.29621836915612
59,162.23238957300782
60,164.1614789068699
61,166.08364553377032
62,167.9990420974791
63,169.90781584009528
64,171.81010804325342
65,173.7060551457107
66,175.59578846395016
67,177.4794344715774
68,179.35711535811424
69,181.2289490289986
70,183.09504929184914
71,184.95552622899413
72,186.81048619747162
73,188.66003192216158
74,190.50426314771175
75,192.34327598661184
76,194.17716385051608
77,196.00601717084646
78,197.82992358505726
79,199.64896812289953
80,201.46323311328888
81,203.27279864996672
82,205.07774249836802
83,206.8781400024891
84,208.67406445741653
85,210.46558710932732
86,212.25277734175324
87,214.03570248931646
88,215.8144279308617
89,217.58901764824986
90,219.3595336675644
91,221.12603652477264
92,222.88858498632908
93,224.64723651483655
94,226.4020470827818
95,228.15307126566768
96,229.90036214888096
97,231.6439717002213
98,233.38395039737225
99,235.12034787982702
100,236.85321220383048
101,238.5825904943049
102,240.30852875858545
103,242.0310719795525
104,243.75026392936707
105,245.46614772826433
106,247.1787651926279
107,248.88815730065107
108,250.59436428546906
109,252.29742535576224
110,253.99737897515297
111,255.69426258280873
112,257.38811296597123
113,259.07896625995636
114,260.76685766875744
115,262.451821744442
116,264.13389229401946
117,265.81310237944126
118,267.4894845969975
119,269.16307070478797
120,270.8338919952512
121,272.5019789226353
122,274.1673616617918
123,275.8300693631172
124,277.49013117700815
125,279.14757522940636
126,280.8024293668568
127,282.4547207839787
