dataset,n_qubits,d_full,preprocessor,data_map,pauli_seq,entanglement,reps,var_y,tau_mode,r2_target_effective,tau,r2_axis_max,target_unreachable,tau_minus_mse_axis,mse_axis_true,mse_mc_adaptive,gap_mc_adaptive,t_used_adaptive,t_req_pred,p_L_final,p_hat_final,s_successes,stop_reason,t_epsilon,ridge_train_mse,svr_classic_mse
riemann_features,2,16,id,riemann_advanced_data_map,Z+ZZ,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.3044963387805304,0,0.023096036310078893,0.06311830610329616,0.06311830610329616,0.0,16,16,0.0,0.3125,5,budget,3,0.03577125019537289,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,Z+ZZ,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.3044963387805304,0,0.023096036310078893,0.06311830610329616,0.06311830610329616,0.0,16,103,0.03547462106484511,0.375,6,budget,2,0.0355901822920109,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,Z+ZZ,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.3044963387805304,0,0.023096036310078893,0.06311830610329616,0.06311830610329616,0.0,16,16,0.0,0.3125,5,budget,3,0.03577125019537289,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,Z+ZZ,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.3044963387805304,0,0.023096036310078893,0.06311830610329616,0.06311830610329616,0.0,16,103,0.03547462106484511,0.375,6,budget,2,0.0355901822920109,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,Y+YY,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.3044963387805304,0,0.023096036310078893,0.06311830610329616,0.06311830610329616,0.0,16,16,0.0,0.3125,5,budget,10,0.03577125019537289,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,Y+YY,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.13639270280357596,0,0.00784030532792046,0.0783740370854546,0.0783740370854546,0.0,16,16,0.0,0.125,2,budget,1,0.07636769498989728,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,Y+YY,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.3044963387805304,0,0.023096036310078893,0.06311830610329616,0.06311830610329616,0.0,16,16,0.0,0.3125,5,budget,10,0.03577125019537289,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,Y+YY,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.13639270280357596,0,0.00784030532792046,0.0783740370854546,0.0783740370854546,0.0,16,16,0.0,0.125,2,budget,1,0.07636769498989728,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,X+XX,linear,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.0,1,-0.004537596969125007,0.09075193938250006,0.09075193938250006,0.0,16,16,0.0,0.0,0,futility_cap,1,0.09075193938250005,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,X+XX,linear,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.3044963387805306,0,0.023096036310078907,0.06311830610329615,0.06311830610329615,0.0,16,16,0.0,0.3125,5,budget,2,0.03577125019537289,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,X+XX,full,1,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.0,1,-0.004537596969125007,0.09075193938250006,0.09075193938250006,0.0,16,16,0.0,0.0,0,futility_cap,1,0.09075193938250005,0.015294727169940394
riemann_features,2,16,id,riemann_advanced_data_map,X+XX,full,2,0.09075193938250006,ratio,0.050000000000000044,0.08621434241337506,0.3044963387805306,0,0.023096036310078907,0.06311830610329615,0.06311830610329615,0.0,16,16,0.0,0.3125,5,budget,2,0.03577125019537289,0.015294727169940394
