config,error
[1/240] o_shank | id | riemann_data_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[2/240] o_shank | id | riemann_data_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[3/240] o_shank | id | riemann_data_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[4/240] o_shank | id | riemann_data_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[5/240] o_shank | id | riemann_spectral_data_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[6/240] o_shank | id | riemann_spectral_data_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[7/240] o_shank | id | riemann_spectral_data_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[8/240] o_shank | id | riemann_spectral_data_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[9/240] o_shank | id | riemann_quantum_interference_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[10/240] o_shank | id | riemann_quantum_interference_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[11/240] o_shank | id | riemann_quantum_interference_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[12/240] o_shank | id | riemann_quantum_interference_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[13/240] o_shank | id | riemann_advanced_data_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[14/240] o_shank | id | riemann_advanced_data_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[15/240] o_shank | id | riemann_advanced_data_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[16/240] o_shank | id | riemann_advanced_data_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[17/240] o_shank | id | zeta_data_map | Z+ZZ | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[18/240] o_shank | id | zeta_data_map | Z+ZZ | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[19/240] o_shank | id | zeta_data_map | Z+ZZ | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[20/240] o_shank | id | zeta_data_map | Z+ZZ | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[21/240] o_shank | id | riemann_data_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[22/240] o_shank | id | riemann_data_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[23/240] o_shank | id | riemann_data_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[24/240] o_shank | id | riemann_data_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[25/240] o_shank | id | riemann_spectral_data_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[26/240] o_shank | id | riemann_spectral_data_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[27/240] o_shank | id | riemann_spectral_data_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[28/240] o_shank | id | riemann_spectral_data_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[29/240] o_shank | id | riemann_quantum_interference_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[30/240] o_shank | id | riemann_quantum_interference_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[31/240] o_shank | id | riemann_quantum_interference_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[32/240] o_shank | id | riemann_quantum_interference_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[33/240] o_shank | id | riemann_advanced_data_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[34/240] o_shank | id | riemann_advanced_data_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
