,MI,Permutation,RFE,avg_rank
z_co_gram_lag_2,1.0,3.0,5.5,3.1666666666666665
z_gram,3.0,1.0,5.5,3.1666666666666665
z_gram_lag_1,2.0,2.0,5.5,3.1666666666666665
d_lag_13,4.0,4.0,5.5,4.5
z_co_gram_lag_3,5.0,6.0,5.5,5.5
d_lag_12,6.0,8.0,5.5,6.5
d_lag_14,10.0,5.0,5.5,6.833333333333333
d_lag_1,13.0,9.0,5.5,9.166666666666666
z_co_gram_lag_1,7.0,7.0,17.0,10.333333333333334
z_gram_lag_2,17.0,10.0,12.5,13.166666666666666
z_gram_lag_3,12.0,12.0,17.0,13.666666666666666
d_lag_15,14.0,27.0,5.5,15.5
d_lag_16,9.0,37.0,12.5,19.5
d_lag_17,23.0,19.0,22.0,21.333333333333332
d_lag_3,32.0,21.0,12.5,21.833333333333332
z_co_gram_lag_15,19.0,13.0,37.0,23.0
z_gram_lag_7,36.0,11.0,27.0,24.666666666666668
d_lag_25,15.0,17.0,42.0,24.666666666666668
d_lag_2,31.0,30.0,17.0,26.0
z_gram_lag_6,41.0,14.0,27.0,27.333333333333332
z_co_gram_lag_14,11.0,31.0,42.0,28.0
z_co_gram_lag_9,27.0,25.0,32.0,28.0
d_lag_10,34.0,24.0,27.0,28.333333333333332
d_lag_23,25.0,23.0,47.0,31.666666666666668
d_lag_18,51.0,28.0,17.0,32.0
d_lag_11,42.0,22.0,32.0,32.0
z_co_gram,18.0,50.0,32.0,33.333333333333336
z_gram_lag_8,20.0,45.0,37.0,34.0
z_term_2,73.5,18.0,12.5,34.666666666666664
z_integer_lag_7,40.0,32.0,42.0,38.0
z_co_gram_lag_5,48.0,35.0,32.0,38.333333333333336
z_gram_lag_4,73.5,16.0,27.0,38.833333333333336
z_gram_lag_5,35.0,20.0,67.0,40.666666666666664
d_lag_6,73.5,29.0,22.0,41.5
z_term_10,50.0,33.0,42.0,41.666666666666664
d_lag_4,16.0,44.0,67.0,42.333333333333336
z_integer,26.0,49.0,52.0,42.333333333333336
d_lag_19,28.0,94.0,5.5,42.5
d_lag_24,21.0,91.0,17.0,43.0
d_lag_9,73.5,34.0,22.0,43.166666666666664
z_gram_lag_9,73.5,15.0,42.0,43.5
z_term_5,30.0,41.0,62.0,44.333333333333336
z_co_gram_lag_13,24.0,83.0,27.0,44.666666666666664
z_gram_lag_10,73.5,40.0,22.0,45.166666666666664
z_integer_lag_2,44.0,43.0,52.0,46.333333333333336
d_lag_20,52.0,26.0,62.0,46.666666666666664
d_lag_8,33.0,51.0,57.0,47.0
z_term_6,73.5,38.0,32.0,47.833333333333336
z_co_gram_lag_6,22.0,48.0,77.0,49.0
z_term_8,46.0,36.0,67.0,49.666666666666664
z_co_gram_lag_4,39.0,89.0,22.0,50.0
d_lag_5,29.0,74.0,47.0,50.0
z_co_gram_lag_8,45.0,39.0,72.0,52.0
z_term_3,49.0,75.0,37.0,53.666666666666664
z_co_gram_lag_7,8.0,88.0,72.0,56.0
z_integer_lag_5,37.0,84.0,57.0,59.333333333333336
z_co_gram_lag_10,47.0,87.0,47.0,60.333333333333336
z_term_9,73.5,46.0,62.0,60.5
z_integer_lag_4,73.5,47.0,62.0,60.833333333333336
z_integer_lag_3,73.5,42.0,67.0,60.833333333333336
gram,73.5,62.5,47.0,61.0
z_integer_lag_8,43.0,79.0,62.0,61.333333333333336
z_co_gram_lag_12,38.0,77.0,72.0,62.333333333333336
gram_lag_1,73.5,62.5,57.0,64.33333333333333
z_term_7,73.5,86.0,37.0,65.5
d_lag_7,73.5,76.0,52.0,67.16666666666667
z_term_4,73.5,93.0,37.0,67.83333333333333
z_integer_lag_9,73.5,80.0,52.0,68.5
co_gram_lag_7,73.5,62.5,72.0,69.33333333333333
gram_lag_2,73.5,62.5,72.0,69.33333333333333
d_lag_21,73.5,78.0,57.0,69.5
d_lag_22,73.5,90.0,47.0,70.16666666666667
co_gram_lag_8,73.5,62.5,77.0,71.0
co_gram_lag_10,73.5,62.5,77.0,71.0
co_gram_lag_9,73.5,62.5,77.0,71.0
z_co_gram_lag_11,73.5,85.0,57.0,71.83333333333333
z_integer_lag_1,73.5,92.0,52.0,72.5
co_gram_lag_3,73.5,62.5,82.0,72.66666666666667
gram_lag_9,73.5,62.5,82.0,72.66666666666667
co_gram_lag_4,73.5,62.5,82.0,72.66666666666667
co_gram_lag_6,73.5,62.5,82.0,72.66666666666667
co_gram_lag_2,73.5,62.5,82.0,72.66666666666667
z_integer_lag_10,73.5,82.0,67.0,74.16666666666667
co_gram,73.5,62.5,87.0,74.33333333333333
co_gram_lag_5,73.5,62.5,87.0,74.33333333333333
gram_lag_8,73.5,62.5,87.0,74.33333333333333
gram_lag_10,73.5,62.5,87.0,74.33333333333333
co_gram_lag_1,73.5,62.5,87.0,74.33333333333333
gram_lag_6,73.5,62.5,92.0,76.0
gram_lag_5,73.5,62.5,92.0,76.0
gram_lag_4,73.5,62.5,92.0,76.0
gram_lag_3,73.5,62.5,92.0,76.0
gram_lag_7,73.5,62.5,92.0,76.0
z_integer_lag_6,73.5,81.0,77.0,77.16666666666667
