,MI,Permutation,RFE,avg_rank
z_value_2,1.0,1.0,5.5,2.5
z_value_1,2.0,3.0,5.5,3.5
z_sin_term_2_2,7.0,5.0,5.5,5.833333333333333
z_cos_term_2_2,9.0,13.0,5.5,9.166666666666666
z_sin_term_6_2,4.0,11.0,13.0,9.333333333333334
z_sin_term_2_1,19.0,4.0,5.5,9.5
z_cos_term_2_1,3.0,12.0,18.0,11.0
z_cos_term_3_1,23.0,8.0,5.5,12.166666666666666
z_cos_term_1_1,33.0,2.0,5.5,13.5
z_sin_term_5_2,14.0,9.0,18.0,13.666666666666666
z_sin_term_3_2,33.0,6.0,5.5,14.833333333333334
z_cos_term_1_2,33.0,10.0,5.5,16.166666666666668
z_sin_term_4_2,24.0,21.0,5.5,16.833333333333332
z_cos_term_10_2,8.0,25.0,18.0,17.0
z_cos_term_7_2,11.0,17.0,23.0,17.0
z_sin_term_5_1,10.0,20.0,23.0,17.666666666666668
z_cos_term_6_2,13.0,27.0,13.0,17.666666666666668
z_cos_term_4_1,16.0,26.0,13.0,18.333333333333332
z_sin_term_3_1,20.0,7.0,28.0,18.333333333333332
z_sin_term_7_2,15.0,16.0,28.0,19.666666666666668
z_cos_term_5_1,18.0,15.0,28.0,20.333333333333332
z_sin_term_6_1,33.0,18.0,13.0,21.333333333333332
z_cos_term_6_1,33.0,19.0,13.0,21.666666666666668
z_cos_term_5_2,5.0,28.0,33.0,22.0
z_sin_term_8_2,12.0,35.0,23.0,23.333333333333332
z_cos_term_3_2,33.0,22.0,18.0,24.333333333333332
z_sin_term_4_1,33.0,23.0,18.0,24.666666666666668
z_sin_term_8_1,6.0,37.0,33.0,25.333333333333332
z_sin_term_10_1,25.0,24.0,28.0,25.666666666666668
z_sin_term_7_1,33.0,14.0,33.0,26.666666666666668
z_cos_term_10_1,17.0,30.0,38.0,28.333333333333332
z_cos_term_4_2,33.0,29.0,23.0,28.333333333333332
z_cos_term_8_2,22.0,39.0,28.0,29.666666666666668
z_sin_term_9_2,33.0,40.0,23.0,32.0
z_sin_term_10_2,33.0,31.0,33.0,32.333333333333336
z_cos_term_8_1,21.0,38.0,38.0,32.333333333333336
z_sin_term_9_1,33.0,32.0,33.0,32.666666666666664
z_cos_term_9_1,33.0,33.0,38.0,34.666666666666664
z_cos_term_9_2,33.0,34.0,38.0,35.0
z_cos_term_7_1,33.0,36.0,38.0,35.666666666666664
