,MI,Permutation,RFE,avg_rank
z_gram,1.0,1.0,5.5,2.5
z_co_gram,2.0,2.0,5.5,3.1666666666666665
z_term_2,6.0,3.0,5.5,4.833333333333333
z_term_10,7.0,7.0,5.5,6.5
z_term_4,9.0,6.0,5.5,6.833333333333333
z_term_5,8.0,8.0,5.5,7.166666666666667
gram,3.0,13.5,5.5,7.333333333333333
z_term_3,5.0,5.0,12.5,7.5
z_term_6,13.0,4.0,5.5,7.5
co_gram,4.0,13.5,5.5,7.666666666666667
z_term_7,11.0,10.0,5.5,8.833333333333334
z_term_9,10.0,9.0,12.5,10.5
z_term_8,12.0,11.0,12.5,11.833333333333334
z_integer,14.0,12.0,12.5,12.833333333333334
