Group,RMSE,R2,Best C,Best epsilon,Best gamma,Features
Rank Aggregation,0.05622916178233063,0.9611041800600557,10.0,0.01,scale,9
Rank Aggregation,0.06461962778982897,0.9486301122887675,10.0,0.01,scale,6
Rank Aggregation,0.07075204921584959,0.9384174372409131,5.0,0.01,scale,10
Rank Aggregation,0.07084037979636655,0.9382635754338093,10.0,0.001,scale,8
Rank Aggregation,0.07501347040826645,0.9307757549324658,10.0,0.01,scale,5
Rank Aggregation,0.07602247424400074,0.9289009639949207,5.0,0.001,scale,7
Rank Aggregation,0.09635347569018167,0.885787277848075,10.0,0.01,scale,3
Rank Aggregation,0.11171338411587405,0.8464711035851411,10.0,0.001,scale,4
Rank Aggregation,0.1160939483658122,0.834194521688195,10.0,0.001,scale,2
Rank Aggregation,0.2862558739033609,-0.008064976625597575,0.1,0.5,scale,1
