N Features,RMSE,R2,Best C,Best epsilon,Best gamma,Features
9,0.05622916178233921,0.9611041800600438,10.0,0.01,scale,10
6,0.06347188347514617,0.9504387234721058,10.0,0.01,1.0,10
10,0.07075204921584645,0.9384174372409185,5.0,0.01,scale,10
8,0.07084037979637114,0.9382635754338013,10.0,0.001,scale,10
5,0.07501347040826818,0.9307757549324626,10.0,0.01,scale,10
7,0.07602247424399657,0.9289009639949286,5.0,0.001,scale,10
3,0.0963534756901893,0.8857872778480569,10.0,0.01,scale,10
4,0.11171338411591038,0.8464711035850412,10.0,0.001,scale,10
2,0.11609394836582745,0.8341945216881514,10.0,0.001,scale,10
1,0.2862558739033608,-0.008064976625597353,0.1,0.5,scale,10
