MSE,R2,Best C,Best epsilon,Best gamma,Features
0.007492907515181156,0.9143705703203997,10.0,0.01,scale,10
0.008263420236448538,0.9055651013153005,10.0,0.01,0.1,9
0.016635302731872522,0.809890688949295,10.0,0.01,scale,8
0.02027223829601992,0.7683275550779078,10.0,0.1,scale,5
0.02092814437907691,0.760831818115753,10.0,0.01,scale,6
0.021656942750593156,0.7525030633863082,10.0,0.01,scale,7
0.022214797117512567,0.7461278677513961,1.0,0.1,1.0,4
0.028838258831068445,0.6704345206912135,10.0,0.1,1.0,3
0.037059451644549324,0.5764821997159324,1.0,0.1,scale,2
0.0518744762677029,0.40717514413042055,0.1,0.1,scale,1
