MSE,R2,Best C,Best epsilon,Best gamma,Features
0.003347524089741292,0.9588183803554151,10.0,0.001,scale,9
0.004293626451487849,0.9471793221853211,10.0,0.001,scale,6
0.005016599420633792,0.9382852270181119,5.0,0.001,scale,10
0.005018359409693458,0.9382635754338093,10.0,0.001,scale,8
0.005320993980001636,0.9345405307501498,10.0,0.001,scale,7
0.005627020742691866,0.9307757549324658,10.0,0.01,scale,5
0.00928399227757843,0.885787277848075,10.0,0.01,scale,3
0.01247988019062082,0.8464711035851411,10.0,0.001,scale,4
0.013369173846201479,0.8355309125380632,10.0,0.01,scale,2
0.08194242534417684,-0.008064976625597575,0.1,0.5,scale,1
