Group,Scaler,RMSE,R2,Best C,Best epsilon,Best gamma,Features
Gevrey Method (20 features),MinMaxScaler,0.023983930965249912,0.9912436722447175,100,0.001,1.0,20
Gevrey Method (14 features),MinMaxScaler,0.03021514685932523,0.9861026915371778,10,0.001,scale,14
J. Kampe,MinMaxScaler,0.03750546725420288,0.9785873489771044,100,0.001,0.1,40
Gevrey Method (12 features),MinMaxScaler,0.03948078797799394,0.9762724497308277,10,0.01,scale,12
Gevrey Method,MinMaxScaler,0.04074279802681634,0.9747312952888483,100,0.01,0.1,24
Gevrey Method (10 features),MinMaxScaler,0.06139535842237874,0.9426210817379397,10,0.01,scale,10
Random Forest,MinMaxScaler,0.06375484554155794,0.9381260739264907,100,0.001,scale,5
Gevrey Method (8 features),MinMaxScaler,0.07214312228602685,0.9207733766303436,10,0.01,scale,8
Correlation,MinMaxScaler,0.1024859874993122,0.8401140659379209,100,0.01,scale,44
mRMR (14 features),MinMaxScaler,0.11021856587238978,0.8150770598078423,10,0.01,1.0,14
mRMR (10 features),MinMaxScaler,0.1155380180381829,0.7967965370433315,10,0.001,1.0,10
