Group,Scaler,RMSE,R2,Best C,Best epsilon,Best gamma,Features
Gevrey Method (20 features),StandardScaler,0.025454439191295215,0.9901370156372072,100,0.001,0.01,20
Gevrey Method (14 features),StandardScaler,0.0283060635503282,0.9878033592200857,10,0.001,scale,14
Gevrey Method,StandardScaler,0.028630849611360393,0.9875218629928464,100,0.001,0.01,24
J. Kampe,StandardScaler,0.033892308282288744,0.9825142777990971,10,0.001,0.01,40
Gevrey Method (12 features),StandardScaler,0.03920169944183171,0.9766067227754458,10,0.001,scale,12
Random Forest,StandardScaler,0.04916165236550714,0.9632096244386691,1,0.01,1.0,5
Gevrey Method (10 features),StandardScaler,0.061324435755353277,0.9427535710836049,10,0.01,0.1,10
Gevrey Method (8 features),StandardScaler,0.07089606029931603,0.9234887173913596,10,0.01,scale,8
Correlation,StandardScaler,0.08840743083923384,0.8810241494673454,10,0.001,scale,44
mRMR (10 features),StandardScaler,0.08884625990132687,0.8798400942749737,1,0.001,0.1,10
mRMR (14 features),StandardScaler,0.10478985964404658,0.8328448369305804,10,0.01,0.01,14
