Group,model,Best RMSE,R2,Best Hidden Layer Sizes,Features
J. Kampe,MLP,0.06067741027434924,0.943955196386082,"(100, 100, 50)",40
mRMR (14 features),MLP,0.06279955029060391,0.9399664057319179,"(100, 100, 50)",14
Gevrey Method,MLP,0.0652020087723402,0.9352852571208928,"(100, 100, 50)",24
Random Forest,MLP,0.06770980499447421,0.9302114131636333,"(100, 100, 50)",5
Gevrey Method (20 features),MLP,0.07418043425452832,0.9162354960437089,"(100, 100, 50)",20
mRMR (10 features),MLP,0.07477110510761377,0.9148962147125917,"(100, 100, 50)",10
Gevrey Method (14 features),MLP,0.07491339093882676,0.9145720096792491,"(100, 100, 50)",14
Gevrey Method (12 features),MLP,0.08419699936964652,0.8920868159572053,"(100, 50)",12
Gevrey Method (10 features),MLP,0.1067356253728246,0.8265796428694747,"(100, 100, 50)",10
Gevrey Method (8 features),MLP,0.11144976031382772,0.8109226286546805,"(100, 50)",8
Correlation,MLP,0.15007092275839412,0.6571735005971528,"(100, 100, 50)",44
