Group,model,RMSE,R2,Features
J. Kampe,RNN,0.030664781323042945,0.9856859996917736,40
mRMR (14 features),RNN,0.031402401169288656,0.9849890909651481,14
Gevrey Method,RNN,0.036492653438777424,0.9797282069590089,24
Gevrey Method (20 features),RNN,0.040352448126550804,0.9752131662411705,20
Gevrey Method (14 features),RNN,0.04118502679701964,0.9741797772827464,14
Gevrey Method (10 features),RNN,0.04678048109568282,0.966687237703834,10
Gevrey Method (12 features),RNN,0.047165642948291585,0.9661364256797237,12
Random Forest,RNN,0.04737914930471616,0.9658291489307212,5
mRMR (10 features),RNN,0.04856946129315488,0.9640906245874082,10
Gevrey Method (8 features),RNN,0.07825665302820112,0.906776840610935,8
Correlation,RNN,0.11046291957920472,0.8142562054494016,44
