Group,model,Best RMSE,R2,Best C,Best Epsilon,Features
Random Forest (10),SVR,0.05461110834130397,0.9546013164411914,10.0,0.01,10
J. Kampe,SVR,0.06150113262317945,0.9424232023702659,10.0,0.01,40
Random Forest (5),SVR,0.06722800199582811,0.9312010695341526,10.0,0.01,5
Gevrey Method (12 features),SVR,0.07038536132078424,0.9245870435411165,10.0,0.01,12
Gevrey Method,SVR,0.08184797924427557,0.8980241811545278,10.0,0.01,24
Gevrey Method (14 features),SVR,0.09047022704701804,0.875407288132572,1.0,0.01,14
Correlation,SVR,0.09120637334196464,0.8733714445682921,10.0,0.01,44
Random Forest Full,SVR,0.09518751566431861,0.8620755494454657,1.0,0.02,20
Gevrey Method (20 features),SVR,0.09959208277837749,0.8490160065477602,10.0,0.01,20
mRMR (10 features),SVR,0.1018336007596586,0.8421431330327743,10.0,0.02,10
Gevrey Method (10 features),SVR,0.1083128671286887,0.8214164785506286,10.0,0.01,10
mRMR (14 features),SVR,0.11890532779240448,0.7847793655923642,1.0,0.01,14
Gevrey Method (8 features),SVR,0.12282064304681083,0.7703724395131625,10.0,0.01,8
