Group,model,Best RMSE,R2,Best C,Best Epsilon,Features
Gevrey Method (20 features),SVR,0.03165533956438566,0.9847462989255706,10.0,0.01,20
Gevrey Method (14 features),SVR,0.03249035560248514,0.9839309497970198,10.0,0.01,14
Gevrey Method (12 features),SVR,0.040333543378809504,0.9752363856043815,10.0,0.01,12
J. Kampe,SVR,0.06150113262317945,0.9424232023702659,10.0,0.01,40
Gevrey Method (10 features),SVR,0.06179879293811111,0.9418645199195337,10.0,0.01,10
Random Forest,SVR,0.06722800199582811,0.9312010695341526,10.0,0.01,5
Gevrey Method,SVR,0.06851723580478648,0.9285370490071648,10.0,0.01,24
Gevrey Method (8 features),SVR,0.07233972575544263,0.9203409735794204,10.0,0.01,8
Correlation,SVR,0.09120637334196464,0.8733714445682921,10.0,0.01,44
mRMR (10 features),SVR,0.1018336007596586,0.8421431330327743,10.0,0.02,10
mRMR (14 features),SVR,0.11890532779240448,0.7847793655923642,1.0,0.01,14
