Group,model,Best RMSE,R2,Best C,Best Epsilon,Features
Gevrey Method (20 features),SVR,0.02854925404401612,0.9875928849740453,10.0,0.01,20
Gevrey Method (14 features),SVR,0.03143341350067395,0.9849594274274314,10.0,0.01,14
Gevrey Method (12 features),SVR,0.04018833749854062,0.9754143689610365,10.0,0.02,12
J. Kampe,SVR,0.04283133804164574,0.9720742682465386,10.0,0.01,40
Gevrey Method,SVR,0.044898683579862625,0.9693134196821729,10.0,0.02,24
Gevrey Method (10 features),SVR,0.061228244040858124,0.9429330203784068,10.0,0.02,10
Random Forest,SVR,0.06665275646940538,0.9323734071288964,10.0,0.02,5
Gevrey Method (8 features),SVR,0.07100148366323837,0.9232610016639385,10.0,0.02,8
Correlation,SVR,0.0852903534358395,0.8892659698134813,10.0,0.02,44
mRMR (10 features),SVR,0.08656886245917181,0.8859212641793783,10.0,0.02,10
mRMR (14 features),SVR,0.09556682630414837,0.8609741350828105,10.0,0.1,14
